fdc_id,name,data_type,protein,fat,carbs,kcal,alcohol,caffeine,fiber,sodium,sugar_added,cholesterol,fat_trans,fat_sat,fat_mono,fat_poly,sugar,density
172682,"Bread, reduced-calorie, oat bran",sr_legacy_food,8.0,3.2,41.3,201.0,0.0,0.0,12.0,459.0,,0.0,,0.445,0.684,1.67,3.52,
172683,"Bread, reduced-calorie, oat bran, toasted",sr_legacy_food,9.5,3.8,49.2,239.0,0.0,0.0,14.3,547.0,,0.0,,0.53,0.814,1.988,4.2,
172684,"Bread, rye",sr_legacy_food,8.5,3.3,48.3,259.0,0.0,0.0,5.8,603.0,,0.0,,0.626,1.311,0.799,3.85,
172685,"Bread, rye, toasted",sr_legacy_food,9.4,3.6,53.1,284.0,0.0,0.0,6.4,664.0,,0.0,,0.688,1.44,0.879,4.23,
172686,"Bread, wheat",sr_legacy_food,10.67,4.53,47.54,274.0,0.0,0.0,4.0,473.0,,0.0,0.033,0.697,0.612,1.615,5.73,
172687,"Bread, wheat, toasted",sr_legacy_food,12.96,4.27,55.77,313.0,0.0,0.0,4.7,601.0,,0.0,,0.989,1.019,1.72,6.42,
172688,"Bread, whole-wheat, commercially prepared",sr_legacy_food,12.45,3.5,42.71,252.0,0.0,0.0,6.0,455.0,,0.0,0.02,0.722,0.62,1.592,4.34,
172689,"Bread, whole-wheat, commercially prepared, toasted",sr_legacy_food,16.27,4.07,51.16,306.0,0.0,0.0,7.5,565.0,,0.0,1.025,0.922,1.972,0.74,5.77,
172690,"Bread, whole-wheat, prepared from recipe",sr_legacy_food,8.4,5.4,51.4,278.0,0.0,0.0,6.0,346.0,,0.0,,0.796,1.158,2.939,3.84,
172691,"Bread, whole-wheat, prepared from recipe, toasted",sr_legacy_food,9.2,5.9,56.4,305.0,0.0,0.0,6.7,381.0,,0.0,,0.874,1.272,3.23,4.22,
172692,"Bread, stuffing, cornbread, dry mix",sr_legacy_food,10.0,4.2,76.7,389.0,0.0,,14.3,1429.0,,0.0,,0.922,1.662,1.073,13.16,
172693,"Bread, stuffing, cornbread, dry mix, prepared",sr_legacy_food,2.9,8.8,21.9,179.0,0.0,0.0,2.9,526.0,,0.0,,1.755,3.856,2.706,0.0,0.8453505675460752
172694,"Cake, angelfood, commercially prepared",sr_legacy_food,5.9,0.8,57.8,258.0,,,1.5,749.0,,0.0,,0.121,0.071,0.367,,
172695,"Cake, angelfood, dry mix, prepared",sr_legacy_food,6.1,0.3,58.7,257.0,0.0,0.0,0.2,511.0,,0.0,,0.043,0.026,0.124,30.51,
172696,"Cake, boston cream pie, commercially prepared",sr_legacy_food,2.4,8.5,42.9,252.0,0.0,0.0,1.4,254.0,,37.0,,2.445,4.544,1.009,36.11,
172697,"Cake, chocolate, prepared from recipe without frosting",sr_legacy_food,5.3,15.1,53.4,371.0,0.0,,1.6,315.0,,58.0,,5.43,6.039,2.761,,
172698,"Cake, white, prepared from recipe with coconut frosting",sr_legacy_food,4.4,10.3,63.2,356.0,0.0,0.0,1.0,284.0,,1.0,,3.897,3.692,2.162,57.39,
172699,"Cake, coffeecake, cheese",sr_legacy_food,7.0,15.2,44.3,339.0,0.0,,1.0,339.0,,85.0,,5.391,7.129,1.645,,
172700,"Cake, coffeecake, cinnamon with crumb topping, commercially prepared, enriched",sr_legacy_food,6.8,23.3,46.7,418.0,0.0,,2.0,351.0,,32.0,,5.797,12.976,3.12,,
